"","X","Species","Presence.Absence","PresenceCount","TrueAbsenceCount","Hour","env_Longitude","env_Latitude","env_Altitude","t","r","u","v","d","pv","vo","w","i10fg","X10u","X10v","X2t","crr","lsrr","skt","Perc_Broadleaf_Wood","Perc_Urban-Suburban","Perc_Coniferous_Wood","Perc_Arable","Perc_Grassland"
"1",2581064,"Bioscatter",1,30,4797,20,-1.36,51.17,1000,275.161376953125,100.026954650879,-15.4572448730469,-2.11791324615479,7.40543473511934e-05,-6.21148501522839e-08,-0.000115190399810672,0.084874153137207,11.768105506897,-5.94279479980469,-2.42099189758301,282.78662109375,2.38418579101562e-07,0,282.6201171875,4.5,0.25,0.25,93,0
"2",3879141,"Bioscatter",1,384,1158,18,-1.57,51.17,1000,284.854248046875,81.0395965576172,-0.34870719909668,1.81119918823242,2.64227855950594e-05,1.70234898178023e-07,6.17667101323605e-05,-0.693668365478516,6.24551868438721,1.46428489685059,2.76191711425781,292.25537109375,0,0,292.234375,1,1.25,0.5,70.5,14.5
"3",2337674,"Bioscatter",1,463,7390,20,-1.36,51.17,0,283.99462890625,79.9578094482422,-1.38962554931641,-5.13742637634277,2.63527035713196e-05,4.06039362133015e-07,3.78442928195e-06,0.161347389221191,5.83353614807129,-0.591569900512695,-3.21713256835938,284.199951171875,0,4.76837158203125e-07,283.52001953125,4.5,0.25,0.25,93,0
"4",5219620,"Bioscatter",1,13,273,17,-1.29,50.4,3000,276.766845703125,97.6392669677734,14.3369541168213,-5.89824771881104,-2.52739991992712e-05,1.29067302623298e-07,-8.12078360468149e-05,-0.27224063873291,9.03596305847168,4.60335826873779,5.09068584442139,289.98828125,0,0.000322341918945312,290.864013671875,0,0,0,0,0
"5",3767941,"Bioscatter",1,171,3105,1,-1.36,51.1,1000,291.802490234375,53.4728393554688,-4.04661083221436,3.5581693649292,-1.55912712216377e-05,4.17552655562758e-07,1.55882444232702e-05,-0.441986083984375,6.65801239013672,-3.4491491317749,-1.31281661987305,291.05615234375,0,0,290.26171875,8.5,3,1,79.5,0
"6",1169462,"Bioscatter",1,40,15023,5,-1.43,51.1,0,279.142578125,82.6536254882812,-2.35770034790039,-6.22513008117676,-6.57164491713047e-05,1.42449334816774e-06,-4.30908985435963e-05,0.0338773727416992,3.87308406829834,-0.120257377624512,-2.1918249130249,277.612060546875,0,0,276.54931640625,2,4,2,92,0
"7",2061831,"Bioscatter",1,2,8496,9,-1.43,51.17,1000,275.6953125,92.7077484130859,4.96648502349854,-6.12762451171875,1.17507734103128e-05,1.17136437438603e-07,-5.55934384465218e-05,-0.116888999938965,8.80298233032227,0.441302299499512,-4.24937438964844,284.42529296875,0,0,287.58740234375,7.5,0.5,0.5,88.5,0
"8",3971927,"Bioscatter",1,128,1271,13,-1.22,51.1,1000,282.353759765625,100.044815063477,4.32527828216553,-2.36163330078125,9.66829247772694e-06,3.27290763380006e-07,-3.21513507515192e-05,0.470554351806641,7.79910802841187,3.15648460388184,-1.68709468841553,291.10107421875,0,0,292.833251953125,3,6,0,47,0
"9",5042413,"Bioscatter",1,16,141,0,-1.43,51.59,3000,273.18505859375,95.66845703125,11.3765382766724,13.0643548965454,-0.00011703628115356,8.1375128502259e-07,5.99771738052368e-07,0.0133552551269531,6.3072304725647,0.297294616699219,3.07150745391846,287.008544921875,0.000372886657714844,0,285.6787109375,9,2,0,65,0
"10",5227852,"Bioscatter",1,12,224,18,-1.5,51.59,3000,275.682373046875,99.9061508178711,10.1146593093872,0.528346061706543,-1.6731908544898e-05,8.87672285898589e-07,0.000118844443932176,-1.4828405380249,4.80757141113281,0.989065170288086,2.44657516479492,288.523193359375,0,0.000354766845703125,287.687255859375,2.5,5.5,0,70.5,0
